station_id,name,name_ja
st_00001,Shonandai,湘南台
st_00002,Totsuka,戸塚
st_00003,Konan-Chuo,港南中央
st_00004,Kaminagaya,上永谷
st_00005,Maioka,舞岡
st_00006,Shimonagaya,下永谷
st_00007,Shimoiida,下飯田
st_00008,Odoriba,踊場
st_00009,Kamiooka,上大岡
st_00010,Nakada,中田
st_00011,Tateba,立場
st_00012,Gumyoji,弘明寺
st_00013,Maita,蒔田
st_00014,Yoshinocho,吉野町
st_00015,Bandobashi,阪東橋
st_00016,Isezaki-Chojamachi,伊勢佐木長者町
st_00017,Kannai,関内
st_00018,Sakuragicho,桜木町
st_00019,Takashimacho,高島町
st_00020,Yokohama,横浜
st_00021,Mitsuzawa-kamicho,三ツ沢上町
st_00022,Mitsuzawa-shimocho,三ツ沢下町
st_00023,Katakuracho,片倉町
st_00024,Kishine-koen,岸根公園
st_00025,Shin-Yokohama,新横浜
st_00026,Nakayama,中山
st_00027,Kita-Shin-Yokohama,北新横浜
st_00028,Nippa,新羽
st_00029,Kawawacho,川和町
st_00030,Nakamachidai,仲町台
st_00031,Tsuzuki-fureainooka,都筑ふれあいの丘
st_00032,Center Minami,センター南
st_00033,Takata,高田
st_00034,Hiyoshi-Honcho,日吉本町
st_00035,Hiyoshi,日吉
st_00036,Center Kita,センター北
st_00037,Higashi-Yamata,東山田
st_00038,Kita-Yamata,北山田
st_00039,Nakagawa,中川
st_00040,Azamino,あざみ野
st_00041,Nishi-magome,西馬込
st_00042,Magome,馬込
st_00043,Nakanobu,中延
st_00044,Oimachi,大井町
st_00045,Shinagawa Seaside,品川シーサイド
st_00046,Togoshi,戸越
st_00047,Telecom Center,テレコムセンター
st_00048,Osaki,大崎
st_00049,Tennozu Isle,天王洲アイル
st_00050,Tokyo International Cruise Terminal,東京国際クルーズターミナル
st_00051,Keio-Tama Center,京王多摩センター
st_00052,Aomi,青海
st_00053,Daiba,台場
st_00054,Gotanda,五反田
st_00055,Tokyo Teleport,東京テレポート
st_00056,Odaiba-kaihinkōen,お台場海浜公園
st_00057,Tokyo Big Sight,東京ビッグサイト
st_00058,Takanawadai,高輪台
st_00059,Matsugaya,松が谷
st_00060,Meguro,目黒
st_00061,Ariake,国際展示場
st_00062,Otsuka-Teikyo-Daigaku,大塚・帝京大学
st_00063,Shirokanedai,白金台
st_00064,Sengakuji,泉岳寺
st_00065,Ariake-tennis-no-mori,有明テニスの森
st_00066,Shinonome,東雲
st_00067,Shibaura-futō,芝浦ふ頭
st_00068,Chuo-Daigaku-Meisei-Daigaku,中央大学・明星大学
st_00069,Shirokane-takanawa,白金高輪
